Date,Dove Premium EC,Dove Premium Shampoo EC Average Price,Comp Price-EC,Comp Price-Retail,Dove Premium Haircare BB-EC Promotion,Dove Premium Shampoo EC CPP Promotion,Dove Haircare MSP TV GRP,Dove Haircare MSP OOH,Dove Haircare MSP Pre-roll,Dove Haircare PFM CPS,Dove Haircare PFM Livestream,Dove Haircare PFM Others,Dove Haircare CDS Digital,Dove Haircare CDS Social,Dove PW MSP OOH,Dove PW MSP Pre-roll,Dove PW CDS Social,Dove PW PFM CPS,Dove PW PFM Livestream,Dove PW PFM Others
 Mar-20,30452.84,92.69022331,69.21226901,87.37133449,0.0,2108058.14,256.3600892,0.0,1925062.97,292372.92,437891.457,3053890.83,0.0,576172.52,855729.0,3264811.2,2413012.98,793783.93,596540.0,4617363.82
 Apr-20,34530.27,79.77142519,67.86873708,88.76104762,238782.32,658141.5721,197.9519113,743583.0,1738286.6,1161692.0,351998.6065,1429278.65,0.0,1559011.76,0.0,0.0,2047044.01,2030469.0,533905.4,2609994.7
 May-20,53103.2,83.70838255,70.60296594,89.46571507,1254430.39,4484125.308,10.25654912,0.0,3728815.75,1008838.99,0.0,5443357.84,400000.0,1469924.33,2737546.0,4757238.84,0.0,1046168.98,357508.66,7501008.61
 Jun-20,99442.58,74.98013447,55.04448238,87.94537527,297363.83,0.0,115.3667636,1182759.28,3728815.75,1113625.4,782718.75,7259610.54,0.0,4807890.49,550800.0,2178631.08,6793339.64,1663649.63,2050089.7,8968891.84
 Jul-20,51013.71,77.74405547,67.14891153,88.49957896,0.0,315434.02,91.84034936,887441.0,5852107.88,115646.0,51767.94444,3979472.28,56250.0,277930.94,1111494.0,4366528.66,1576171.41,821277.0,380290.3,5560015.06
 Aug-20,53850.97,75.39477822,80.91591513,88.9414497,0.0,624802.1,76.28512623,538587.0,2435483.7,122080.0,51767.94254,2734178.75,0.0,249672.4,0.0,0.0,2423395.3,1037470.0,380290.3,2518158.28
 Sep-20,71529.74,77.22627385,64.6009148,89.44559544,0.0,5228594.22,117.1630332,953394.0,3744211.9,905547.97,228501.3183,3296125.2,0.0,2224054.41,943704.0,3924235.27,4264551.7,1067191.87,9744733.9,3610157.5
 Oct-20,54796.78,73.54085897,64.02312733,90.71617038,0.0,3484783.99,50.78073236,859379.24,1817186.24,2950305.989,82383.09714,7228756.33,617692.3,8710677.14,1061232.0,3820009.96,5634426.65,4903889.769,132771.7028,11711356.86
 Nov-20,114390.43,70.03401421,54.43847396,88.38378495,0.0,477079.64,67.52271696,90723.43,1703612.42,2171760.391,188246.3176,7015712.82,842307.7,7507320.21,554273.0,3833650.4,5010944.19,3143850.271,275774.3656,7424544.681
 Dec-20,42039.79,77.71147667,70.96023133,88.32675068,109089.2,160473.19,0.0,0.0,0.0,0.0,0.0,1576697.42,0.0,313802.52,0.0,0.0,2138408.01,359145.4,0.0,5435564.96
 Jan-21,32545.167,76.02718063,66.97049317,88.33312186,0.0,686328.91,0.0,0.0,0.0,490549.06,294.8554624,1880290.16,0.0,401416.19,512080.0,3811606.62,676336.11,624024.44,248176.8176,5808354.67
 Feb-21,29592.193,77.04658996,67.93608766,93.07368225,0.0,538306.65,0.0,0.0,0.0,95954.05,326.6345376,1636910.31,70000.0,2046054.06,0.0,0.0,1028640.01,548004.34,274844.914,3015473.07
 Mar-21,61757.89,78.57129963,70.70195074,87.37087057,0.0,2571952.84,101.6884361,858673.33,2683249.8,166022.35,0.0,2195299.51,20000.0,6417222.12,512080.0,3279755.96,1808108.89,1029219.54,0.0,5038365.41
 Apr-21,43269.115,81.81124412,69.21558474,90.75256788,26667.0,1152272.94,59.18194889,0.0,1601328.27,693071.8092,680056.48,2763073.37,0.0,2618363.37,0.0,906344.37,2177204.65,873172.96,1467576.92,3398853.77
 May-21,49084.195,81.12478121,67.18265987,88.11200087,81557.05,3483221.93,131.2139527,648263.0,3578198.19,957330.8208,1547158.5,5215407.02,0.0,6260120.372,0.0,4269262.68,2231565.76,609592.15,816927.85,9269143.7
 Jun-21,88270.04,71.16431634,60.16175321,90.66483167,267766.0,1478830.31,57.21342152,264448.0,1731880.16,0.0,1481818.09,3250318.62,0.0,7294997.06,0.0,4062621.94,2740658.61,3699415.37,2631378.4,8727835.01
 Jul-21,41670.625,76.21597516,67.61883452,90.77348328,41100.95,909695.98,82.21159561,647196.33,2052089.06,684646.37,415370.23,3194600.76,0.0,478396.27,0.0,0.0,2638972.69,1215392.43,1440494.72,3152833.7
