Feature,Importance,e5-L,e5-R,e5-avg
Dove_Bar_Offline_Average_Price,34386743441.0,-8.8465%,-5.0927%,-6.9696%
Safeguard_PW_TV_GRP,3292621009.0,-0.5495%,-0.7895%,-0.6695%
Dove_Bar_Offline_TDP_Distribution,39486325698.0,6.1111%,3.8928%,5.002%
Dove_PW_MSP_TV_GRP,81629310.0,0.0383%,0.0%,0.0192%
DOVE_ALL_ALL_ALL_DIGITAL.SPENDS.MSP.OOH_ownM_0370,3611747310.0,0.2724%,0.2531%,0.2628%
DOVE_ALL_ALL_ALL_DIGITAL.SPENDS.MSP.PREROLL_ownM_0370,85299620.0,0.0392%,0.0233%,0.0312%
DOVE.Shampoo_ALL_ALL_ALL_CDS.DIGITAL.ACTIVATION_haloD_0330,353651150.0,-0.0%,0.0%,0.0%
DOVE.Shampoo_ALL_ALL_ALL_CDS.SOCIAL_haloD_0330,1317873748.5996094,0.1859%,0.144%,0.1649%
DOVE_ALL_BAR_OFFLINE.RETAIL_CDP_ownpromo.L2,209073000.0,0.0535%,0.0437%,0.0486%
DOVE_ALL_BAR_OFFLINE.RETAIL_BBP.RT_ownpromo.L2,1134806840.0,-0.0%,0.0%,0.0%
DOVE_OTHERS_BAR_OFFLINE.RETAIL_TCP.DM_ownpromo.L2,61947770.0,-0.0%,0.0%,0.0%
DOVE_OTHERS_BAR_OFFLINE.RETAIL_CPP_ownpromo.L2,7815740866.0,0.8794%,1.0648%,0.9721%
DOVE.Shampoo_ALL_ALL_ALL_SPENDS.MSP.OOH_haloM_0370,792367650.1015625,0.0643%,0.0206%,0.0424%
DOVE.Shampoo_ALL_ALL_ALL_SPENDS.MSP.PREROLL_haloM_0370,4130799236.0,0.195%,0.1198%,0.1574%
SET1.RETAIL,139010500.0,0.3485%,0.2455%,0.297%
SET1.ONLINE,298456126.0,0.2244%,0.1289%,0.1766%
